"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.205758083E0,7.402329433E-1,-6.374137491E-2,8.535087132E-1,1.131585126E0
1.215728083E0,1.177115993E0,-7.576921445E-1,7.652344680E-1,1.595394383E0
1.225698083E0,1.663414301E0,-1.494703857E0,6.078677684E-1,2.317453339E0
1.235667083E0,8.378819563E-1,-1.432241268E0,-4.290757012E-1,1.713904075E0
1.245637083E0,4.186312950E-1,-1.326986416E0,1.716157794E-2,1.391560142E0
1.255607083E0,1.339505561E-1,-1.348728995E0,1.165699743E0,1.787699232E0
1.265577083E0,-3.038430514E-1,-8.375282729E-1,1.060615337E0,1.385163926E0
1.275547083E0,-5.054006131E-1,5.922948790E-1,1.057999293E0,1.313623046E0
1.285517083E0,-8.196429558E-1,3.175999966E-1,3.657521099E-1,9.520813719E-1
1.295486083E0,-1.403007236E0,3.847067365E-1,-6.902801800E-1,1.610253180E0
1.305456083E0,-1.226777419E0,1.607376194E-1,-1.252377114E0,1.760473758E0
1.315426083E0,-1.242230587E0,-2.775585562E-2,-1.086497453E0,1.650570790E0
1.325396083E0,-1.063976829E0,2.389181086E-1,2.028650540E-1,1.109181133E0
1.335366083E0,-5.080379998E-1,6.242481583E-1,2.803470933E-1,8.522809778E-1
1.345336083E0,-2.915672606E-1,3.889971310E-1,9.328092366E-1,1.051885596E0
1.355305083E0,2.753076157E-1,-5.250545302E-1,1.195561473E0,1.334482589E0
1.365275083E0,5.731320184E-2,-6.487991551E-1,2.492521852E-1,6.973892733E-1
1.375245083E0,3.021794637E-1,5.953231519E-1,-9.347417414E-1,1.148679332E0
1.385215083E0,5.864548261E-1,6.893183130E-1,-6.538239598E-2,9.073939924E-1
1.395185083E0,5.035806307E-1,8.494557157E-1,1.743201166E-1,1.002774136E0
1.405155083E0,1.083497977E0,7.601263404E-1,-1.475661814E-1,1.331741603E0
1.415125083E0,1.019541717E0,7.532283801E-1,-1.636111166E0,2.069704823E0
1.425094083E0,6.873366916E-1,7.865083927E-1,-2.600806439E0,2.802716773E0
1.435064083E0,6.581459293E-1,3.754561490E-1,-2.016807590E0,2.154445691E0
1.445033333E0,2.481272540E-1,2.500132003E-1,-8.191136366E-1,8.916394362E-1
1.455003333E0,2.691999614E-2,1.057226291E-1,8.321833330E-1,8.393039141E-1
1.464973333E0,4.589358967E-1,4.483244428E-1,8.041564590E-1,1.028729592E0
1.474943333E0,-2.877849709E-2,1.412033875E0,-1.082231909E-1,1.416467481E0
1.484912333E0,2.697013967E-1,6.618182731E-1,-4.153809375E-1,8.266096982E-1
1.494882333E0,3.234913222E-1,-9.058260906E-1,-1.438184670E0,1.730185738E0
1.504852333E0,1.417325971E-1,-8.299669459E-1,-8.994216353E-1,1.232027816E0
1.514822333E0,1.391506859E-1,6.311659992E-1,-2.604940420E-1,6.968432950E-1
1.524792333E0,-4.588642683E-2,1.203394403E0,-5.273902005E-1,1.314687825E0
1.534762333E0,4.642735640E-1,8.361945230E-1,-1.059802575E0,1.427568814E0
1.544731333E0,1.685962407E-1,2.098624170E-2,-1.235005621E0,1.246637075E0
1.554701333E0,-5.408932487E-1,-5.546493351E-1,4.658663821E-1,9.040093348E-1
1.564671333E0,4.180174470E-2,-2.239775956E-3,1.590512824E0,1.591063621E0
1.574641333E0,2.091924722E-1,7.665167624E-1,1.284114631E0,1.510052920E0
1.584611333E0,8.982755810E-1,1.878033574E0,-7.402680266E-1,2.209503536E0
1.594581333E0,1.079109057E0,1.852283606E0,-1.748843145E0,2.766565246E0
1.604550333E0,3.659201442E-1,1.338721485E0,-1.510239909E0,2.051072244E0
1.614520333E0,1.910037578E-1,1.188638955E0,-5.202653682E-1,1.311495731E0
1.624490333E0,-1.763642301E-1,1.131791447E0,6.490409374E-1,1.316552452E0
1.634460333E0,-2.882482897E-1,1.064738794E0,9.967906398E-1,1.486723698E0
1.644430333E0,-2.458173846E-1,7.126019257E-1,7.286455160E-1,1.048404492E0
1.654400333E0,-2.291516505E-1,5.856688142E-2,7.526430738E-1,7.889310205E-1
1.664370333E0,-1.388893519E-1,-4.176479030E-1,9.235092402E-1,1.023029491E0
1.674339333E0,1.625015782E-1,1.868840289E-1,8.317395294E-1,8.678266232E-1
1.684309333E0,2.983686505E-1,2.075437036E-1,1.831020498E-1,4.069700249E-1
1.694279333E0,3.097786148E-1,-8.807690173E-2,-5.904582685E-1,6.725780978E-1
1.704249333E0,7.518795736E-2,2.994660267E-1,-1.998186547E-1,3.677779559E-1
