surface,measurement_id,n_windows,acf_stable_percentage,acf_error_mean,az_avg_mean,az_avg_std,az_avg_mean_deviation,az_avg_stable_percentage,az_std_mean,az_std_std,az_std_mean_deviation,az_std_stable_percentage,az_rms_mean,az_rms_std,az_rms_mean_deviation,az_rms_stable_percentage,spec_energy_mean,spec_energy_std,spec_energy_mean_deviation,spec_energy_stable_percentage
Rough_asphalt,Rough_asphalt_5,36,91.66666666666666,0.558149100066969,-0.006990784707033019,0.09163653262918144,0.7369621895815197,91.66666666666666,4.559554898289541,1.398523252691616,0.7374060531366784,91.66666666666666,4.537586042861376,1.3919537260143147,0.7374084294398171,91.66666666666666,8.227470606874137,5.487906513426134,0.7414917546365936,91.66666666666666
Rough_asphalt,Rough_asphalt_6,39,100.0,0.47481221610600916,0.04320843523289836,0.3109362099343315,0.35682556614251937,97.43589743589743,4.925465813574944,1.5960901369182985,0.7379165905526233,94.87179487179486,4.906185148604455,1.6009723453048608,0.7355676699190824,94.87179487179486,9.072628635448362,6.231496023811502,0.7410359227866238,89.74358974358975
Rough_asphalt,Rough_asphalt_7,39,97.43589743589743,0.5304392278314762,0.036081594202339674,0.41933518109946133,0.4143076456531515,94.87179487179486,5.5522407394374,1.443975107617563,0.8420805307358378,97.43589743589743,5.5355447299775395,1.453397447976802,0.8390696607228958,94.87179487179486,11.513229999430118,7.797746435424765,0.7618213502540578,94.87179487179486
Smooth_asphalt,Smooth_asphalt_1,27,100.0,0.5237092920724096,0.000838135180522965,0.011558426996804287,0.7492237710079513,92.5925925925926,0.527147893451529,0.19972418180915158,0.6183024487128463,96.29629629629629,0.5246345214427655,0.19873492870651616,0.6181502883243012,96.29629629629629,0.10166800719447747,0.0636630650126622,0.7920632236231983,96.29629629629629
Smooth_asphalt,Smooth_asphalt_2,26,100.0,0.5124823576396664,-0.0023372385186568308,0.012833832541460111,0.7839419689217141,96.15384615384616,0.41802463377196164,0.09749524659466445,0.7177159314819299,92.3076923076923,0.41613461062887236,0.09700335287779777,0.7176199274527122,92.3076923076923,0.06912860322139722,0.03569369373574161,0.7844505095136083,92.3076923076923
Smooth_asphalt,Smooth_asphalt_3,29,100.0,0.5054190624148326,-0.0009649503202390895,0.012694672646801438,0.6967692021182222,93.10344827586206,0.47221842754820414,0.20186564550799602,0.6504896353561314,93.10344827586206,0.4700226402466856,0.20087565593759066,0.6503465271437691,93.10344827586206,0.0931006037515963,0.06714142095707393,0.7720613122735575,96.55172413793103
Smooth_asphalt,Smooth_asphalt_4,27,100.0,0.5731547656310978,0.001193318293249464,0.017756888723451443,0.5391320008153528,96.29629629629629,0.4722838079788577,0.1237744101789332,0.7174903023483459,92.5925925925926,0.47022573594858746,0.12325891441129125,0.7189479333780333,92.5925925925926,0.09442905664455398,0.06334704227339782,0.7469078930509773,92.5925925925926
Smooth_asphalt,Smooth_asphalt_5,30,96.66666666666667,0.5707054084016602,-0.0022653266892137145,0.024437755232588447,0.6435925536350899,96.66666666666667,0.48807759036356196,0.22498295440144095,0.6397786456588356,96.66666666666667,0.48615074528164504,0.22404106459499495,0.6409344211597605,96.66666666666667,0.09635838928528068,0.09837699230963737,0.6128466847568265,96.66666666666667
Smooth_asphalt,Smooth_asphalt_6,28,100.0,0.503088685608854,0.0005243854056521911,0.023402225660595407,0.6270820355466599,96.42857142857143,0.4487171453129809,0.10341691139074374,0.6437418507731215,96.42857142857143,0.4469933816868838,0.10319525379336889,0.6459134414281503,96.42857142857143,0.07730924625911774,0.06533593186358272,0.6104192646796911,96.42857142857143
Smooth_asphalt,Smooth_asphalt_7,29,100.0,0.6197679550919343,-0.00803791908538852,0.0595324566184373,0.42621744716958726,96.55172413793103,0.45900843788246987,0.1286360625484595,0.772892185343853,96.55172413793103,0.4587095184108434,0.13259339317729704,0.7620142847500448,96.55172413793103,0.0807628600825351,0.051120119313503624,0.7524132849319511,93.10344827586206
Unpaved,Unpaved_1,68,88.23529411764706,0.7778011952217441,-0.0009197181645354061,0.11625618008080466,0.6771207608328261,89.70588235294117,3.266682198759646,1.7622811347110674,0.7238941033521434,98.52941176470588,3.264101336527453,1.7609892790390795,0.724101260033,98.52941176470588,4.693757365038728,5.46115073271466,0.6825747348860298,95.58823529411765
Unpaved,Unpaved_10,54,83.33333333333334,0.8045680038423617,-0.0007527912627297026,0.10191943895573813,0.7476066904424179,96.29629629629629,3.5122692369435304,1.7750019757492468,0.7312471866812074,96.29629629629629,3.5101125992482802,1.7710924316991772,0.7315240781487068,96.29629629629629,4.025013916905498,3.899952649809878,0.7105510397298492,96.29629629629629
Unpaved,Unpaved_2,49,93.87755102040816,0.702531453446844,0.0008512957359670516,0.08345969683076146,0.6909374577746197,93.87755102040816,3.501431691029086,2.3054812718906486,0.6227156156588238,95.91836734693877,3.497895494231265,2.3027133263065176,0.62270202823395,95.91836734693877,4.889772592920492,9.939288225929976,0.4517275354092819,95.91836734693877
Unpaved,Unpaved_3,59,88.13559322033898,0.7596139753953889,-0.0008089964211322256,0.06941616353655616,0.7204145439493982,91.52542372881356,3.2436914244920025,1.3326533531451614,0.6654081467110823,88.13559322033898,3.2401881439403133,1.3313121720096799,0.6654394028180071,88.13559322033898,3.4124028030360605,2.861143539432,0.6691613523452661,96.61016949152543
Unpaved,Unpaved_4,67,89.55223880597015,0.8354285772255696,-7.55282643337172e-05,0.10883295152659445,0.7572028225470965,92.53731343283582,2.9377444028780793,1.3194366152284744,0.6977166178727543,92.53731343283582,2.9358296307844984,1.3182083040869728,0.6978410618442861,92.53731343283582,3.0643437048274937,4.375681270627837,0.5544040473802294,97.01492537313433
Unpaved,Unpaved_5,66,86.36363636363636,0.7519119304679308,0.0005325301060646743,0.10785853054640629,0.7559299723354248,92.42424242424242,3.7785193161990955,1.5892477495349913,0.7648356750506743,93.93939393939394,3.775185536095813,1.587436373063607,0.7647865794631064,93.93939393939394,5.476829356482489,5.398827785711078,0.7573198444888201,93.93939393939394
Unpaved,Unpaved_6,64,89.0625,0.7257371870912623,-9.120391253251287e-05,0.08634085029182646,0.7247225702374664,92.1875,3.9559666124866357,1.6778342176933445,0.7306009824234858,90.625,3.951847644521883,1.6758388664260155,0.7305435116067632,90.625,5.600844535283841,6.1183132272828145,0.5758228668804095,96.875
Unpaved,Unpaved_7,44,88.63636363636364,0.765597309573911,-0.00011519263866989725,0.10759323026346182,0.6845635148114592,93.18181818181817,2.496332569504911,0.9706067229492107,0.6868136096355282,90.9090909090909,2.4951606124384074,0.9701376328252816,0.6870523853553314,90.9090909090909,1.9750906883384802,1.8399521084811394,0.7035835169673904,93.18181818181817
Unpaved,Unpaved_8,64,90.625,0.7686266585686008,-0.0006247977182850592,0.08822715260105926,0.7645975503562105,93.75,2.4583845534391546,0.8743696962169168,0.7432458245976472,93.75,2.4566669896294315,0.8737595075073665,0.7433946329748045,93.75,2.0567049981888967,1.5010431022829667,0.7597247537138707,95.3125
Unpaved,Unpaved_9,36,83.33333333333334,0.760939453035817,-0.0015196814935119402,0.09180621130887058,0.700447033646078,91.66666666666666,3.3805548308301443,1.8158008984412517,0.7532112163655782,94.44444444444444,3.377338221848042,1.8138172818811071,0.7530353591803701,94.44444444444444,5.156346670129033,7.315140468036003,0.585518345416381,97.22222222222221
cobble,cobble_1,42,97.61904761904762,0.5511754989904523,0.002109103980823342,0.04230853672656712,0.7268491599924022,97.61904761904762,1.1830480519160669,0.4551560381032488,0.6106125565992356,95.23809523809523,1.1778084903533512,0.45308763569334226,0.6103442420932336,95.23809523809523,0.63732562734359,0.9364993921285117,0.47735986047776263,97.61904761904762
cobble,cobble_2,41,97.5609756097561,0.6036429483371576,-0.0004329027721598299,0.05638457648103041,0.703090996294382,95.1219512195122,1.1837237871756847,0.497292876644214,0.5542947679646308,95.1219512195122,1.1789489717875195,0.49525562501614706,0.5539687945933964,95.1219512195122,0.6059776566954898,0.804113387311104,0.4129237602135268,97.5609756097561
cobble,cobble_3,43,86.04651162790698,0.6441164264402416,-0.005664162450441112,0.05952639054499489,0.6142908182546888,95.34883720930233,1.2045368119527509,0.30725222434897725,0.7254923221080517,95.34883720930233,1.1997488041216597,0.30666162543760817,0.7259577678079708,95.34883720930233,0.5834137882214483,0.37015487215880677,0.6871069861959349,93.02325581395348
cobble,cobble_4,43,97.67441860465115,0.5821908371321104,0.0021818497522503645,0.03628545799626448,0.8093046342100156,97.67441860465115,1.1929821368062854,0.4292047284569911,0.589400878678119,97.67441860465115,1.1876129929909622,0.42693191147138565,0.5893434254465005,97.67441860465115,0.5660963608114844,0.5071694848781696,0.5968314024387066,97.67441860465115
cobble,cobble_5,42,97.61904761904762,0.5667228787383912,-0.0026192687231710553,0.04744212285789134,0.6934401582329578,95.23809523809523,1.1556981491567886,0.3668825841692245,0.6605656652682647,97.61904761904762,1.150794641933933,0.36536588071034276,0.661463857598022,97.61904761904762,0.5507609788782171,0.6264236565458071,0.4711962898082436,97.61904761904762
cobble,cobble_6,43,97.67441860465115,0.5912298541807512,-0.0016285372824860016,0.03180568113451809,0.7634322411468328,95.34883720930233,1.0529298290533757,0.4549642889226336,0.5388211595978948,90.69767441860465,1.0481658135114655,0.4526314919909077,0.5388963862983992,90.69767441860465,0.5301542262766368,0.7154450680135205,0.45709638073045344,95.34883720930233
cobble,cobble_7,43,100.0,0.5219005718259161,-0.0007159175375160753,0.034551859876244276,0.8146987547601678,97.67441860465115,1.2835141645231334,0.40179884892413276,0.6285360833331748,97.67441860465115,1.2775894996098704,0.3997208057623858,0.6284025851349627,97.67441860465115,0.7571902257323221,0.9652153590889705,0.4457784034536032,95.34883720930233
